,Unnamed: 0.1,Unnamed: 0,title,description,category
249196,249196,10361,"Mead 06780 Spiral Bound Notebook, Perforated, College Rule, 11 x 8, White, 200 Sheets",Pad Type: Notebook; Global Product Type: Paper Pads/Note Pads; Sheet Size (W x H): 8 1/2 in x 11 in; Ruling: Blue/Red; College.,office_products
199049,199049,15329,Rescue Heroes Mission Select Police Cruiser by Fisher-Price,"Flashing lights and siren & engine sounds!;Room for two Rescue Heroes figures!;Six different missions to choose from: fire, flood, storm, volcano, earthquake or avalanche!;Used with Mission Select figures, they both talk about the mission you select!;Ages 3 years and up",toys_and_games
321588,321588,2733,"So Sweet Girl's 20"" Balance Bike","23314 Features: -This 20"" bike is the perfect big-kid bike for girls who want a ride that will reflect her unique personality . -Full-color So Sweet chrome graphics have the perfect look for kids when they ride down the sidewalk . -Durable steel diamond frame and steel unicrown fork with pressed dropouts for solid and reliable support . -Decorated crossbar pad provides added protection in the front . Frame Color: -Pink. Frame Material: -Metal. Age Group: -3 to 4 Years. Age Group: -7 to 8 Years. Age Group: -11 to 12 Years. Age Group: -9 to 10 Years. Dimensions: Overall Height - Top to Bottom: -35 Inches. Overall Width - Side to Side: -28 Inches. Overall Depth - Front to Back: -56 Inches. Overall Product Weight: -23.8 Pounds.",sports_and_outdoors
351792,351792,12928,SCOTSMAN 11-0503-21  Cube Size Control,"11-0503-21, CUBE SIZE CONTROL. Scotsman Genuine OEM replacement part. Scotsman Ice Machines, a Warburg-Pincus brand, have a history of consistent innovation in ice maker parts and manufacturing. Use genuine OEM parts for safety reliability and performance. 11-0503-21, CUBE SIZE CONTROL. Scotsman Genuine OEM replacement part. Scotsman Ice Machines, a Warburg-Pincus brand, have a history of consistent innovation in ice maker parts and manufacturing. Use genuine OEM parts for safety reliability and performance.",appliances
194966,194966,11246,"12"" Star Wars Episode I Figure Set #3: R2-A6","1/6th scale R2-A6 from Star Wars, Episode I:  The Phantom Menace.  Long over out of production.",toys_and_games
338066,338066,19211,Camco 57321 Universal BBQ/Appliance Stand,"The Camco RV Universal BBQ / Appliance Stand is designed to be used with the Camco Olympian tabletop gas grills or other appliances. The stand folds flat for storage and is power coated for rust resistance. The stand is 28-1/2"" tall and is black in color.",sports_and_outdoors
132447,132447,257,"Hormel Chili, with Beans, 15 Oz","Hormel Chili, with Beans, 15 Oz",prime_pantry
185275,185275,1555,Boeing C-17 Globemaster III diecast 1:200 model (Amercom LB-13),"A high-wing, 4-engine military-transport aircraft that is in worldwide operation since 1995, the multi-service C-17 can carry large equipment, supplies and troops directly to small airfields anywhere in the world, day or night. It is a premier transporter for military, humanitarian and peacekeeping missions. Model packed in blister.",toys_and_games
50315,50315,10301,BURBERRY Body Tender Eau de Toilette Gift Set (2.8 oz + Body Milk + Shower Gel),"Body Tender Eau de Toilette is a youthful, lighter interpretation of the original Burberry Body. It is an instinctive fragrance with notes of refreshing lemon, dewy rose and musk. N/A",luxury_beauty
15531,15531,15531,Legrand - Wiremold V2010A2 ENTRANCE END FITTING (1 piece),"V2000 Steel Entrance End Fitting Plugmold multioutlet strip delivers power where you need it. Simply mount, plug into an existing power source, and your are done. Great for the home workshop. Perfect for invisible outlets beneath a kitchen cabinet. The easy way to add outlets. One of Plugmold accessories is the Flush Plate Adapter which is for the use with Plugmold hard-wired strips. Back feed adapter from standard wall outlet to unit.",tools_and_home_improvement
